description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.4960698689956332,0.49190064481949636,0.5407027131464702,0.4960698689956332,0.008396196365356445,0.05764274597167969,0.4996920490914394,0.502247191011236,0.5500887786910539,0.502247191011236,16
DecisionTree,0.4052401746724891,0.40423560321425134,0.4071127285559397,0.4052401746724891,1.1278029441833497,0.0074046611785888675,0.4151867030674644,0.4131086142322097,0.4201626466620523,0.4131086142322097,16
Bagging,0.4829694323144105,0.4935449066486546,0.5102942256726426,0.4829694323144105,7.017727184295654,0.011346864700317382,0.49723492945060455,0.49363295880149816,0.5043339709002448,0.49363295880149816,16
RandomForest,0.5633187772925764,0.5656839595710081,0.5741054795204615,0.5633187772925764,3.34574236869812,0.02321138381958008,0.5741569238919226,0.5767790262172283,0.573953043854732,0.5767790262172283,16
ExtraTrees,0.5807860262008734,0.5812225964784116,0.5848179875054362,0.5807860262008734,0.7557066440582275,0.025966453552246093,0.583490740177341,0.5876404494382023,0.5827008083062275,0.5876404494382023,16
AdaBoost,0.4393013100436681,0.43627094025499014,0.43795272982023287,0.4393013100436681,6.730008220672607,0.02236018180847168,0.43993202538836246,0.4423220973782772,0.44140034599774997,0.4423220973782772,16
GradientBoosting,0.5650655021834061,0.5700958570645367,0.5808651999445947,0.5650655021834061,164.44128880500793,0.012540817260742188,0.554655408726959,0.5531835205992509,0.5590119000556644,0.5531835205992509,16
XGBoost,0.5851528384279476,0.5925250156412393,0.6048826096924813,0.5851528384279476,66.90283226966858,0.022454071044921874,0.5837703897738914,0.5820224719101124,0.5895317944580567,0.5820224719101124,16
Gaussian Process,0.2165938864628821,0.10194599336583654,0.18299368087761836,0.2165938864628821,30.15003094673157,3.8483551025390623,0.10677863079792826,0.22134831460674156,0.21318044894142144,0.22134831460674156,16
Hist Gradient Boosting,0.5729257641921397,0.5809917378627704,0.5948205875790731,0.5729257641921397,27.239904260635377,0.047847843170166014,0.5822398414885501,0.5790262172284644,0.5888953448041845,0.5790262172284644,16
SVC,0.5947598253275109,0.599408416220154,0.6070540608558764,0.5947598253275109,0.6516098022460938,0.2809016704559326,0.6142159702549368,0.6172284644194757,0.6148740178943075,0.6172284644194757,16
