description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.8095238095238095,0.8045511921808504,0.8642857142857144,0.8095238095238095,0.012885570526123047,0.0648879051208496,0.7980460919890662,0.8065651638334564,0.8591146560181452,0.8065651638334564,10
DecisionTree,0.8426501035196687,0.8425661214462055,0.8425981438403799,0.8426501035196687,0.13833327293395997,0.009329843521118163,0.8402769337637462,0.840278886425228,0.8408735157348677,0.840278886425228,10
Bagging,0.870600414078675,0.8700161354040185,0.872942940410402,0.870600414078675,0.8577616691589356,0.014044189453125,0.8750814366875286,0.8753357969943336,0.8805949689820032,0.8753357969943336,10
RandomForest,0.8747412008281573,0.8737860308467233,0.8800089335025485,0.8747412008281573,0.45118255615234376,0.0208648681640625,0.8795508707497917,0.8802099039172209,0.8914485546922661,0.8802099039172209,10
ExtraTrees,0.8768115942028986,0.8760099720024116,0.8810351957735518,0.8768115942028986,0.40338287353515623,0.023483848571777342,0.8829549427988471,0.8833220004927321,0.8904534650566165,0.8833220004927321,10
AdaBoost,0.8612836438923396,0.8611162737715532,0.8614243419004537,0.8612836438923396,0.9086734771728515,0.025189208984375,0.8712983809652975,0.8713436807095343,0.872566226331007,0.8713436807095343,10
GradientBoosting,0.8799171842650103,0.879560214954495,0.8811585842332114,0.8799171842650103,3.955308961868286,0.010612058639526366,0.8948177278708922,0.894859817689086,0.8968363546912779,0.894859817689086,10
XGBoost,0.8964803312629399,0.8963554281877263,0.8967256582068946,0.8964803312629399,4.996573400497437,0.019560718536376955,0.9059353706952544,0.905949248583395,0.9069099262277127,0.905949248583395,10
Gaussian Process,0.5351966873706004,0.38085588494493067,0.7528157565787343,0.5351966873706004,2.891674852371216,0.5055535316467286,0.34039142223808944,0.49733628972653354,0.7523840083908305,0.49733628972653354,10
Hist Gradient Boosting,0.8944099378881988,0.8941482513503755,0.8954061479095126,0.8944099378881988,5.696521377563476,0.014089822769165039,0.9090375199822158,0.909059374230106,0.9101886941518872,0.909059374230106,10
SVC,0.8757763975155279,0.875825497753664,0.8759948426469746,0.8757763975155279,0.5515106678009033,0.2150567054748535,0.8740009957121707,0.8740073909830007,0.8743591808168926,0.8740073909830007,10
