description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.728,0.718670315635833,0.7592404138770542,0.728,0.010588312149047851,0.08267087936401367,0.7064212129648559,0.7154285714285714,0.7469886368724472,0.7154285714285714,14
DecisionTree,0.7013333333333334,0.7013216520650815,0.7016117838070461,0.7013333333333334,2.015373945236206,0.007664680480957031,0.6953495819818999,0.6954285714285714,0.6957298415567779,0.6954285714285714,14
Bagging,0.7793333333333333,0.7782328486325178,0.7837515527950312,0.7793333333333333,14.045677280426025,0.012186431884765625,0.7760070116958963,0.7765714285714285,0.7798278421809903,0.7765714285714285,14
RandomForest,0.798,0.7975141613589342,0.8000481702763257,0.798,5.605511856079102,0.024576711654663085,0.7970628929164029,0.7974285714285715,0.7998481930054078,0.7974285714285715,14
ExtraTrees,0.7933333333333333,0.792160156340879,0.7987528081916428,0.7933333333333333,0.8264780521392823,0.028031444549560545,0.7970887330549761,0.7977142857142857,0.8018505944986234,0.7977142857142857,14
AdaBoost,0.758,0.7573179553441247,0.7600606725409099,0.758,9.03676872253418,0.02535400390625,0.7527110526912175,0.7531428571428571,0.7551015235107256,0.7531428571428571,14
GradientBoosting,0.816,0.8153561138298765,0.8194078463122478,0.816,42.59323468208313,0.009249687194824219,0.8010726878989696,0.8014285714285714,0.8039191176752014,0.8014285714285714,14
XGBoost,0.8353333333333334,0.8350573190868963,0.8368788377821056,0.8353333333333334,18.73600721359253,0.017699575424194335,0.8086798564893698,0.8088571428571427,0.8101705659770323,0.8088571428571427,14
Gaussian Process,0.5066666666666667,0.3415033698690968,0.7502068045363576,0.5066666666666667,13.146543645858765,0.952560567855835,0.3330120605654424,0.49857142857142855,0.649718779597676,0.49857142857142855,14
Hist Gradient Boosting,0.8346666666666667,0.8343614164963261,0.8363973310644396,0.8346666666666667,5.8712738990783695,0.0169222354888916,0.8103921119018282,0.8105714285714285,0.8119585794452296,0.8105714285714285,14
SVC,0.8326666666666667,0.8324220206447439,0.8339632003662795,0.8326666666666667,0.8310990810394288,0.3152205467224121,0.8150678430588618,0.8154285714285713,0.8182089010364473,0.8154285714285713,14
