description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.694,0.6882913217491531,0.7072353905975741,0.694,0.017251062393188476,0.13281240463256835,0.6921276022738414,0.6994285714285715,0.7205890319565715,0.6994285714285715,4
DecisionTree,0.814,0.8139985946660421,0.8142063265999192,0.814,0.3087460041046143,0.010026121139526367,0.8122149495900318,0.8122857142857143,0.8126760750337348,0.8122857142857143,4
Bagging,0.8693333333333333,0.8693370501797978,0.8693902222222223,0.8693333333333333,1.983884906768799,0.02002267837524414,0.8688256565912355,0.8688571428571429,0.8691148882525652,0.8688571428571429,4
RandomForest,0.862,0.8619655875799159,0.8627664516129031,0.862,1.0053697109222413,0.025365209579467772,0.8678644394174946,0.868,0.8692048467655263,0.868,4
ExtraTrees,0.8466666666666667,0.846550755262111,0.8483216344233294,0.8466666666666667,1.0027383327484132,0.030281734466552735,0.857245626084401,0.8574285714285714,0.8589510663447862,0.8574285714285714,4
AdaBoost,0.8866666666666667,0.8866535664344783,0.8867193192167577,0.8866666666666667,1.9387506008148194,0.034760665893554685,0.8931094965685311,0.893142857142857,0.8935189854606879,0.893142857142857,4
GradientBoosting,0.9066666666666666,0.906631965877953,0.9069878917378917,0.9066666666666666,9.446541166305542,0.012185621261596679,0.9139862385254659,0.914,0.9143040210526202,0.914,4
XGBoost,0.926,0.9259847001319231,0.9261547588754581,0.926,9.086558485031128,0.021235227584838867,0.9239861880320195,0.924,0.9244069951207798,0.924,4
Gaussian Process,0.496,0.3303763157894737,0.7503551401869158,0.496,17.843168926239013,1.3970314979553222,0.3371438146156815,0.5028571428571429,0.4515785763919302,0.5028571428571429,4
Hist Gradient Boosting,0.9186666666666666,0.918657265323567,0.9187295651183971,0.9186666666666666,8.268287754058838,0.018075037002563476,0.9211327649861462,0.9211428571428572,0.9214328433278627,0.9211428571428572,4
SVC,0.852,0.8519828970176453,0.8524780282331512,0.852,3.0100687980651855,0.9434252262115479,0.8519791499279933,0.852,0.8521467887265709,0.852,4
