description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,iteration
KNeighbors,0.7273333333333334,0.7199293104704707,0.7485317464735715,0.7273333333333334,0.009959936141967773,0.08484101295471191,0.7020552674875787,0.7105714285714285,0.7385732736576747,0.7105714285714285,17
DecisionTree,0.7313333333333333,0.7311363435560173,0.7314141876158058,0.7313333333333333,1.9565977096557616,0.007734346389770508,0.7073235711741767,0.7074285714285715,0.7077342868013793,0.7074285714285715,17
Bagging,0.7993333333333333,0.7985668704045576,0.802064366354564,0.7993333333333333,13.722461080551147,0.014761829376220703,0.7810028752339739,0.7817142857142857,0.7865691182939594,0.7817142857142857,17
RandomForest,0.816,0.8154848910639012,0.8179681008168164,0.816,5.44690170288086,0.025275421142578126,0.8056748673088485,0.806,0.8087414776004804,0.806,17
ExtraTrees,0.8093333333333333,0.8084531758811951,0.8129736801892644,0.8093333333333333,0.9430112361907959,0.02799644470214844,0.8026617538755868,0.8034285714285714,0.8090588244629421,0.8034285714285714,17
AdaBoost,0.776,0.775789330811117,0.7762870349706033,0.776,8.972401475906372,0.024827098846435545,0.7600754358997159,0.7602857142857142,0.7616211699588747,0.7602857142857142,17
GradientBoosting,0.8173333333333334,0.8168736436363723,0.8190511375308211,0.8173333333333334,42.38704833984375,0.009094858169555664,0.8091772194253235,0.8094285714285714,0.8115538034310186,0.8094285714285714,17
XGBoost,0.8373333333333334,0.8372325462009272,0.8375614568455539,0.8373333333333334,17.99323716163635,0.015261602401733399,0.8184395779317327,0.8185714285714285,0.8197982652515112,0.8185714285714285,17
Gaussian Process,0.5133333333333333,0.35044364853792187,0.7506524159429971,0.5133333333333333,5.427003002166748,0.6581805229187012,0.32921587098800237,0.4957142857142857,0.44730715365974716,0.4957142857142857,17
Hist Gradient Boosting,0.8346666666666667,0.8345111727415387,0.8351179392690699,0.8346666666666667,5.736275959014892,0.01618819236755371,0.8267661648753206,0.8268571428571428,0.8277621217460605,0.8268571428571428,17
SVC,0.8346666666666667,0.8343369737442129,0.8360271309698623,0.8346666666666667,0.6818553924560546,0.31227803230285645,0.8287659085935093,0.8288571428571428,0.8299435130331325,0.8288571428571428,17
